date,demand
2018-10-25,71877
2018-10-26,71622
2018-10-27,66897
2018-10-28,61665
2018-10-29,70048
2018-10-30,71631
2018-10-31,71752
2018-11-01,72346
2018-11-02,72279
2018-11-03,65159
2018-11-04,63359
2018-11-05,71333
2018-11-06,73871
2018-11-07,72549
2018-11-08,73026
2018-11-09,74078
2018-11-10,66295
2018-11-11,61629
2018-11-12,71463
2018-11-13,73606
2018-11-14,72725
2018-11-15,74072
2018-11-16,74721
2018-11-17,67691
2018-11-18,64519
2018-11-19,74151
2018-11-20,76053
2018-11-21,77070
2018-11-22,78994
2018-11-23,73107
2018-11-24,72229
2018-11-25,68366
2018-11-26,77674
2018-11-27,77201
2018-11-28,76581
2018-11-29,76918
2018-11-30,77007
2018-12-01,71885
2018-12-02,71022
2018-12-03,78359
2018-12-04,76295
2018-12-05,74991
2018-12-06,81901
2018-12-07,79384
2018-12-08,75456
2018-12-09,75529
2018-12-10,89970
2018-12-11,95305
2018-12-12,93128
2018-12-13,92667
2018-12-14,92412
2018-12-15,86380
2018-12-16,86463
2018-12-17,91640
2018-12-18,88628
2018-12-19,89021
2018-12-20,88482
2018-12-21,87061
2018-12-22,81153
2018-12-23,75224
2018-12-24,80274
2018-12-25,90141
2018-12-26,90314
2018-12-27,84380
2018-12-28,85146
2018-12-29,78720
2018-12-30,74762
2018-12-31,73301
2019-01-01,67313
2019-01-02,67881
2019-01-03,71562
2019-01-04,77948
2019-01-05,75575
2019-01-06,80133
2019-01-07,90877
2019-01-08,94329
2019-01-09,95515
2019-01-10,102474
2019-01-11,94960
2019-01-12,91597
2019-01-13,79635
2019-01-14,85018
2019-01-15,97436
2019-01-16,93291
2019-01-17,91616
2019-01-18,93240
2019-01-19,85245
2019-01-20,79513
2019-01-21,90595
2019-01-22,94096
2019-01-23,92349
2019-01-24,92950
2019-01-25,94612
2019-01-26,88655
2019-01-27,83435
2019-01-28,94522
2019-01-29,93914
2019-01-30,94529
2019-01-31,97179
2019-02-01,96247
2019-02-02,84607
2019-02-03,76097
2019-02-04,80008
2019-02-05,89818
2019-02-06,93557
2019-02-07,87523
2019-02-08,91899
2019-02-09,96648
2019-02-10,85330
2019-02-11,92289
2019-02-12,93984
2019-02-13,95671
2019-02-14,96166
2019-02-15,99972
2019-02-16,84838
2019-02-17,78671
2019-02-18,86350
2019-02-19,89426
2019-02-20,80717
2019-02-21,81990
2019-02-22,82735
2019-02-23,76028
2019-02-24,72495
2019-02-25,79569
2019-02-26,81368
2019-02-27,85458
2019-02-28,89531
2019-03-01,83451
2019-03-02,74270
2019-03-03,77013
2019-03-04,87953
2019-03-05,82025
2019-03-06,82193
2019-03-07,85315
2019-03-08,84636
2019-03-09,75362
2019-03-10,68162
2019-03-11,77165
2019-03-12,76538
2019-03-13,76676
2019-03-14,80920
2019-03-15,80322
2019-03-16,74714
2019-03-17,70029
2019-03-18,78295
2019-03-19,76414
2019-03-20,73233
2019-03-21,69025
2019-03-22,70737
2019-03-23,75972
2019-03-24,69739
2019-03-25,77553
2019-03-26,77317
2019-03-27,74221
2019-03-28,73967
2019-03-29,80292
2019-03-30,75022
2019-03-31,67283
2019-04-01,77535
2019-04-02,81719
2019-04-03,81962
2019-04-04,78301
2019-04-05,73841
2019-04-06,65098
2019-04-07,61838
2019-04-08,76155
2019-04-09,76580
2019-04-10,88078
2019-04-11,80364
2019-04-12,80606
2019-04-13,69384
